"date","commune","case_true","case_lowCI","case_med","case_uppCI","pop","inc_true","inc_lowCI","inc_med","inc_uppCI","hist_year","season","month_lab"
2022-05-01,"AMBIABE",NA,323,443,608,11690,NA,27.6049093886366,37.8828113102521,51.9949710323603,3,"2022/2023","May"
2022-05-01,"AMBOHIMANGA DU SUD",NA,456,589,759,22735,NA,20.069911483595,25.8859019497932,33.4008524916394,3,"2022/2023","May"
2022-05-01,"AMBOHIMIERA",NA,447,602,813,17366,NA,25.726911586316,34.6736536315076,46.8408698068106,3,"2022/2023","May"
2022-05-01,"AMPASINAMBO",NA,72,108,163,3866,NA,18.5604897249937,27.9357114161681,42.1506230843878,3,"2022/2023","May"
2022-05-01,"ANALAMPASINA",NA,176,241,331,7546,NA,23.2949299341307,31.9752947748046,43.9115760916588,3,"2022/2023","May"
2022-05-01,"ANDRORANGAVOLA",NA,350,465,618,17952,NA,19.4946607795385,25.9006408924556,34.4479396351954,3,"2022/2023","May"
2022-05-01,"ANTARETRA",NA,351,462,609,12163,NA,28.8504499145893,37.9891751126635,50.0305284905989,3,"2022/2023","May"
2022-05-01,"ANTSINDRA",NA,283,389,536,7892,NA,35.8157308496059,49.3234327730479,67.9415087796141,3,"2022/2023","May"
2022-05-01,"FASINTSARA",NA,380,494,641,14449,NA,26.3165829905708,34.1769482519246,44.3942635674449,3,"2022/2023","May"
2022-05-01,"IFANADIANA",NA,317,415,543,21220,NA,14.9599245474947,19.5642031848033,25.5868171554906,3,"2022/2023","May"
2022-05-01,"KELILALINA",NA,298,384,496,15511,NA,19.2182912423349,24.7877055813647,31.9712280159807,3,"2022/2023","May"
2022-05-01,"MAROHARATRA",NA,494,655,872,14735,NA,33.503514301888,44.474691376728,59.1462593444729,3,"2022/2023","May"
2022-05-01,"MAROTOKO",NA,278,391,551,8485,NA,32.8039812002925,46.1266387683082,64.9460993626152,3,"2022/2023","May"
2022-05-01,"RANOMAFANA",NA,132,179,243,16180,NA,8.1288561491731,11.0493560857806,15.0271300884041,3,"2022/2023","May"
2022-05-01,"TSARATANANA",NA,841,1081,1388,30394,NA,27.6751816658421,35.5508678156316,45.6798531409695,3,"2022/2023","May"
2022-06-01,"AMBIABE",NA,193,266,367,11716,NA,16.4821723634747,22.7283845027467,31.3466461652909,3,"2022/2023","Jun"
2022-06-01,"AMBOHIMANGA DU SUD",NA,255,335,440,22782,NA,11.1917774893461,14.7063134180745,19.3306090614572,3,"2022/2023","Jun"
2022-06-01,"AMBOHIMIERA",NA,231,314,429,17406,NA,13.2430889082688,18.0386765242519,24.6267400942682,3,"2022/2023","Jun"
2022-06-01,"AMPASINAMBO",NA,45,74,124,3875,NA,11.587039336309,19.2139136039583,31.9209046630377,3,"2022/2023","Jun"
2022-06-01,"ANALAMPASINA",NA,117,162,225,7562,NA,15.48836096585,21.4475932346558,29.712770434529,3,"2022/2023","Jun"
2022-06-01,"ANDRORANGAVOLA",NA,247,330,442,17993,NA,13.7084301519047,18.3446472699802,24.5731112263485,3,"2022/2023","Jun"
2022-06-01,"ANTARETRA",NA,240,317,418,12189,NA,19.7182978419201,26.0082706765477,34.3092615137929,3,"2022/2023","Jun"
2022-06-01,"ANTSINDRA",NA,138,194,272,7909,NA,17.4320969416816,24.4716623376405,34.3632464296321,3,"2022/2023","Jun"
2022-06-01,"FASINTSARA",NA,144,193,260,14482,NA,9.92152267131267,13.3579622790981,17.9863978069794,3,"2022/2023","Jun"
2022-06-01,"IFANADIANA",NA,150,197,259,21269,NA,7.03297128797063,9.25292894014916,12.1738584900486,3,"2022/2023","Jun"
2022-06-01,"KELILALINA",NA,197,254,328,15545,NA,12.641233093233,16.3326719663755,21.1026806471174,3,"2022/2023","Jun"
2022-06-01,"MAROHARATRA",NA,292,399,544,14764,NA,19.8023463579468,26.9941969426492,36.8589289223259,3,"2022/2023","Jun"
2022-06-01,"MAROTOKO",NA,234,330,465,8505,NA,27.5015128398988,38.7485137412855,54.6744891631673,3,"2022/2023","Jun"
2022-06-01,"RANOMAFANA",NA,65,89,123,16216,NA,3.97980752242222,5.50154876382284,7.60939611053603,3,"2022/2023","Jun"
2022-06-01,"TSARATANANA",NA,442,570,737,30464,NA,14.4983807484426,18.7258620919553,24.1902307657842,3,"2022/2023","Jun"
2022-07-01,"AMBIABE",NA,161,230,328,11745,NA,13.7321646628849,19.5797910940601,27.9208786630077,3,"2022/2023","Jul"
2022-07-01,"AMBOHIMANGA DU SUD",NA,162,221,301,22840,NA,7.10256002886682,9.6701182588266,13.1688782834669,3,"2022/2023","Jul"
2022-07-01,"AMBOHIMIERA",NA,176,246,345,17449,NA,10.0758792450863,14.0934951013957,19.7525803884731,3,"2022/2023","Jul"
2022-07-01,"AMPASINAMBO",NA,23,42,77,3886,NA,5.8476500944656,10.7447044398424,19.7407257841476,3,"2022/2023","Jul"
2022-07-01,"ANALAMPASINA",NA,117,169,244,7581,NA,15.3845030573884,22.2679577862919,32.2502435644654,3,"2022/2023","Jul"
2022-07-01,"ANDRORANGAVOLA",NA,252,343,468,18036,NA,13.9800249364803,19.041802573793,25.9591346244579,3,"2022/2023","Jul"
2022-07-01,"ANTARETRA",NA,118,159,213,12221,NA,9.6670669532526,12.9936834826781,17.4653024003215,3,"2022/2023","Jul"
2022-07-01,"ANTSINDRA",NA,73,108,160,7929,NA,9.17367783936753,13.5954038559086,20.1535685711281,3,"2022/2023","Jul"
2022-07-01,"FASINTSARA",NA,109,153,216,14520,NA,7.48595640719426,10.5645248697349,14.9097347161502,3,"2022/2023","Jul"
2022-07-01,"IFANADIANA",NA,69,94,127,21320,NA,3.24310992121448,4.39523665447602,5.95614755333848,3,"2022/2023","Jul"
2022-07-01,"KELILALINA",NA,200,262,342,15584,NA,12.8303049461291,16.7843983116253,21.9583826655836,3,"2022/2023","Jul"
2022-07-01,"MAROHARATRA",NA,240,331,458,14804,NA,16.2295710150443,22.3890079705109,30.930419413339,3,"2022/2023","Jul"
2022-07-01,"MAROTOKO",NA,113,170,257,8525,NA,13.2624882748091,19.9710289110543,30.0977477962038,3,"2022/2023","Jul"
2022-07-01,"RANOMAFANA",NA,60,87,125,16255,NA,3.68847639137064,5.33365935702421,7.71372949180938,3,"2022/2023","Jul"
2022-07-01,"TSARATANANA",NA,434,566,738,30540,NA,14.2163974544456,18.5281297005144,24.1516121713616,3,"2022/2023","Jul"
2022-08-01,"AMBIABE",NA,109,166,253,11771,NA,9.27949964759425,14.1263642342106,21.5027973113927,3,"2022/2023","Aug"
2022-08-01,"AMBOHIMANGA DU SUD",NA,152,208,285,22889,NA,6.62095188557759,9.08000304575316,12.454081218089,3,"2022/2023","Aug"
2022-08-01,"AMBOHIMIERA",NA,84,123,180,17482,NA,4.8270074540176,7.04326139978424,10.2933737784911,3,"2022/2023","Aug"
2022-08-01,"AMPASINAMBO",NA,24,42,75,3893,NA,6.09849550264278,10.8672849193958,19.3777288710892,3,"2022/2023","Aug"
2022-08-01,"ANALAMPASINA",NA,79,121,185,7597,NA,10.4076003834755,15.909140237111,24.3227298120546,3,"2022/2023","Aug"
2022-08-01,"ANDRORANGAVOLA",NA,182,254,356,18074,NA,10.0643428952773,14.0804858947638,19.71268824699,3,"2022/2023","Aug"
2022-08-01,"ANTARETRA",NA,97,136,192,12247,NA,7.9022512571068,11.132411039125,15.6842082233229,3,"2022/2023","Aug"
2022-08-01,"ANTSINDRA",NA,21,41,78,7946,NA,2.68632649596154,5.1340129193285,9.87064285172441,3,"2022/2023","Aug"
2022-08-01,"FASINTSARA",NA,143,201,282,14546,NA,9.82913822302545,13.7971776344283,19.3712816785744,3,"2022/2023","Aug"
2022-08-01,"IFANADIANA",NA,86,116,158,21366,NA,4.0164508475174,5.44414388676626,7.38018189672383,3,"2022/2023","Aug"
2022-08-01,"KELILALINA",NA,173,230,308,15617,NA,11.0538407305888,14.7533612194625,19.6921320966733,3,"2022/2023","Aug"
2022-08-01,"MAROHARATRA",NA,173,254,374,14834,NA,11.629360356444,17.102699275355,25.185077253858,3,"2022/2023","Aug"
2022-08-01,"MAROTOKO",NA,127,184,267,8542,NA,14.8563039992349,21.5487371668338,31.272351193764,3,"2022/2023","Aug"
2022-08-01,"RANOMAFANA",NA,46,70,107,16291,NA,2.81416238651128,4.30172904656345,6.57651523075112,3,"2022/2023","Aug"
2022-08-01,"TSARATANANA",NA,239,322,432,30604,NA,7.82416915687101,10.508088252792,14.1129342811748,3,"2022/2023","Aug"
2022-09-01,"AMBIABE",NA,146,224,345,11798,NA,12.3401315849996,18.9810781369095,29.2197495006398,3,"2022/2023","Sep"
2022-09-01,"AMBOHIMANGA DU SUD",NA,169,234,324,22943,NA,7.34465887623208,10.1849128018557,14.1263462470574,3,"2022/2023","Sep"
2022-09-01,"AMBOHIMIERA",NA,40,62,96,17526,NA,2.28391455681642,3.5255299435106,5.45248981550632,3,"2022/2023","Sep"
2022-09-01,"AMPASINAMBO",NA,35,59,99,3902,NA,8.98720917586614,15.0996735259374,25.425441562642,3,"2022/2023","Sep"
2022-09-01,"ANALAMPASINA",NA,77,116,176,7614,NA,10.0771131410803,15.2567301147446,23.1102038149288,3,"2022/2023","Sep"
2022-09-01,"ANDRORANGAVOLA",NA,235,337,483,18118,NA,12.9684833668555,18.5807615582971,26.6447889881636,3,"2022/2023","Sep"
2022-09-01,"ANTARETRA",NA,97,138,196,12275,NA,7.94241769409674,11.2511442861492,15.9356492369379,3,"2022/2023","Sep"
2022-09-01,"ANTSINDRA",NA,86,129,193,7966,NA,10.7438650083633,16.1379840253265,24.2468715550486,3,"2022/2023","Sep"
2022-09-01,"FASINTSARA",NA,83,119,170,14581,NA,5.72145217376576,8.16093891024357,11.6387153921245,3,"2022/2023","Sep"
2022-09-01,"IFANADIANA",NA,73,99,136,21416,NA,3.38541663807191,4.63507715001144,6.3454641092403,3,"2022/2023","Sep"
2022-09-01,"KELILALINA",NA,94,129,177,15653,NA,5.98704575518407,8.22398082989127,11.2952953558319,3,"2022/2023","Sep"
2022-09-01,"MAROHARATRA",NA,71,106,158,14869,NA,4.80235575662171,7.13375926312341,10.6127769701149,3,"2022/2023","Sep"
2022-09-01,"MAROTOKO",NA,123,187,283,8563,NA,14.3809114443286,21.8009962186929,33.0788396261608,3,"2022/2023","Sep"
2022-09-01,"RANOMAFANA",NA,44,69,106,16329,NA,2.723492167013,4.20546006224179,6.49459387106179,3,"2022/2023","Sep"
