"date","case_true","case_lowCI","case_med","case_uppCI","pop","inc_true","inc_lowCI","inc_med","inc_uppCI","hist_year","season","month_lab"
2022-08-01,NA,1733,2468,3531,223699,NA,7.74701691393234,11.0320089519564,15.7850722424488,3,"2022/2023","Aug"
2022-09-01,NA,1594,2307,3349,224230,NA,7.10756718211912,10.2886826374015,14.9374131897369,3,"2022/2023","Sep"
2022-10-01,NA,2486,3435,4757,224745,NA,11.0621486033475,15.2830324302045,21.1679730793938,3,"2022/2023","Oct"
2022-11-01,NA,5789,7718,10307,225252,NA,25.7014287427917,34.2659761344881,45.7565324264674,3,"2022/2023","Nov"
2022-12-01,NA,9423,12508,16629,225759,NA,41.7375030511879,55.405853873191,73.6567948330503,3,"2022/2023","Dec"
2023-01-01,NA,13241,17369,22810,226355,NA,58.4961245289104,76.7318469621741,100.770977346851,3,"2022/2023","Jan"
2023-02-01,NA,13997,18389,24191,226793,NA,61.7192593851263,81.0849418483218,106.6658661825,3,"2022/2023","Feb"
2023-03-01,NA,15027,19690,25833,227336,NA,66.100220952999,86.6131390021948,113.634749148715,3,"2022/2023","Mar"
2023-04-01,NA,11780,15504,20432,227867,NA,51.6983854420936,68.0405967421475,89.6677762880558,3,"2022/2023","Apr"
2023-05-01,NA,7272,9628,12770,228407,NA,31.8385029396171,42.1537062118491,55.9079252124003,3,"2022/2023","May"
2023-06-01,NA,4422,5948,8020,228912,NA,19.3162480063736,25.9855013062179,35.0355848691492,3,"2022/2023","Jun"
2023-07-01,NA,3483,4806,6652,229485,NA,15.1773583785022,20.940438045729,28.9852245150956,3,"2022/2023","Jul"
2023-08-01,NA,2571,3669,5261,229970,NA,11.1804587992704,15.9555453178131,22.8770963427271,2,"2023/2024","Aug"
2023-09-01,NA,2360,3419,4969,230528,NA,10.2354944918796,14.8327863111997,21.5563549780054,2,"2023/2024","Sep"
2023-10-01,NA,3606,4990,6924,231038,NA,15.6064451932568,21.5997130725703,29.9699914014433,2,"2023/2024","Oct"
2023-11-01,NA,8366,11159,14908,231571,NA,36.1272273370476,48.1887304802338,64.3786699542848,2,"2023/2024","Nov"
2023-12-01,NA,14150,18785,24975,232089,NA,60.9665164499307,80.9399169831674,107.609450524457,2,"2023/2024","Dec"
2024-01-01,NA,20035,26362,34726,232701,NA,86.0959722175586,113.286631024935,149.231632593693,2,"2023/2024","Jan"
2024-02-01,NA,19116,25152,33135,233153,NA,81.9902699948162,107.876429666632,142.116934288146,2,"2023/2024","Feb"
2024-03-01,NA,22352,29273,38385,233707,NA,95.642035142655,125.256409736316,164.244639008191,2,"2023/2024","Mar"
2024-04-01,NA,16657,21874,28762,234250,NA,71.1091527071033,93.3771829860678,122.781311034216,2,"2023/2024","Apr"
2024-05-01,NA,10578,14007,18580,234807,NA,45.0513510931963,59.654343746976,79.1285042571733,2,"2023/2024","May"
2024-06-01,NA,6353,8559,11557,235329,NA,26.996787655716,36.3699272526222,49.1115365238657,2,"2023/2024","Jun"
2024-07-01,NA,4784,6610,9162,235903,NA,20.2803355317576,28.0201964036378,38.838315937848,2,"2023/2024","Jul"
2024-08-01,NA,3431,4900,7032,236411,NA,14.5113476842858,20.7271169992213,29.7435206525594,1,"2024/2025","Aug"
2024-09-01,NA,3220,4667,6785,236976,NA,13.587388109509,19.6957325212272,28.6314908388155,1,"2024/2025","Sep"
2024-10-01,NA,1713,2371,3291,237511,NA,7.21158606881404,9.98433963043587,13.8578005296528,1,"2024/2025","Oct"
2024-11-01,NA,3901,5214,6980,238049,NA,16.3865920581319,21.9021606780427,29.3204153554363,1,"2024/2025","Nov"
2024-12-01,NA,6747,8957,11909,238587,NA,28.279393106372,37.5431950876407,49.9133931362571,1,"2024/2025","Dec"
2025-01-01,NA,8751,11492,15111,239214,NA,36.5817591051946,48.0427282080401,63.1704923255748,1,"2024/2025","Jan"
2025-02-01,NA,9767,12877,16998,239685,NA,40.7484164529372,53.7231165029754,70.9185875719188,1,"2024/2025","Feb"
2025-03-01,NA,10188,13436,17739,240249,NA,42.407428747938,55.9233759422096,73.8365294628686,1,"2024/2025","Mar"
2025-04-01,NA,7827,10352,13709,240816,NA,32.5019930545481,42.9867517505922,56.9278211416118,1,"2024/2025","Apr"
2025-05-01,NA,5268,6999,9316,241379,NA,21.8250148141951,28.9979250447506,38.5952805842511,1,"2024/2025","May"
2025-06-01,NA,2988,4022,5427,241918,NA,12.3501921094399,16.6258878039749,22.4327996629103,1,"2024/2025","Jun"
2025-07-01,NA,2521,3487,4839,242514,NA,10.3957870542197,14.3789044804718,19.9520263453493,1,"2024/2025","Jul"
2025-08-01,NA,1771,2523,3610,243038,NA,7.28761950192656,10.3801597954787,14.8552299367181,0,"Saison en cours","Aug"
