"comm_fkt","date","inc_lowCI","inc_med","inc_uppCI","inc_true","case_lowCI","case_med","case_uppCI","case_true","pop","hist_year","season","month_lab"
"AMBIABE_AMBALAFASINA",2021-09-01,11.083505958148,17.7478116880318,28.420512640882,NA,12,20,31,NA,1105,3,"2021/2022","Sep"
"AMBIABE_AMBALATENINA",2021-09-01,8.64654226915089,13.3147060097488,20.503636914116,NA,12,19,30,NA,1439,3,"2021/2022","Sep"
"AMBIABE_AMBIABE I",2021-09-01,7.87063823305715,11.8917103651225,17.9677368084934,NA,25,38,57,NA,3171,3,"2021/2022","Sep"
"AMBIABE_AMBINANINDRANOTELO",2021-09-01,8.13698412487494,12.26374233767,18.4837035176027,NA,27,41,62,NA,3368,3,"2021/2022","Sep"
"AMBIABE_ANKABOKA",2021-09-01,8.32447652848129,12.8321495834965,19.7808987543883,NA,13,20,30,NA,1526,3,"2021/2022","Sep"
"AMBIABE_SAHAVATANA",2021-09-01,7.28439320186339,10.7363861485427,15.8246667411594,NA,6,9,14,NA,869,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBALAHERANA",2021-09-01,4.21002919600407,5.8168473583376,8.0348363741173,NA,4,5,7,NA,867,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBALAVARY",2021-09-01,5.77505756850376,8.04269856521841,11.1973408529421,NA,4,6,9,NA,761,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBATOFANOKONANA",2021-09-01,3.78168681504122,5.47951901936689,7.93650097272028,NA,2,4,5,NA,660,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBILANIBE",2021-09-01,6.20918422817972,8.62137339097985,11.9671730124326,NA,4,5,7,NA,610,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIARA",2021-09-01,3.87403863004775,5.37304826021893,7.45018927279603,NA,1,2,2,NA,317,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIMANGA NORD",2021-09-01,11.1309440234268,14.9630215981237,20.1105465290983,NA,14,19,25,NA,1260,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIRAFIA",2021-09-01,7.8223667229893,10.7715782166214,14.828687102025,NA,8,12,16,NA,1086,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBODIVOASARY",2021-09-01,2.76532828157929,3.89201587880784,5.47609094459176,NA,3,4,5,NA,980,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBOHIMANGA SUD",2021-09-01,2.32593533216022,3.1774118937734,4.33978482011655,NA,5,7,9,NA,2062,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_AMBOHIMIRANTY",2021-09-01,2.79448185530614,3.88275294844817,5.39359301600916,NA,3,4,6,NA,1140,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_ANDRORANGAVOLA NORD",2021-09-01,5.17370483992286,7.15549239470763,9.89356171492687,NA,7,10,14,NA,1440,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_ANTANJONA",2021-09-01,4.08953712283614,5.70181408010533,7.94776819973232,NA,5,7,9,NA,1174,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_FALIARIVO",2021-09-01,6.91582425564324,9.78237222046354,13.8326508332841,NA,4,6,8,NA,573,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA",2021-09-01,4.97267497769064,7.11941554339812,10.1893873140639,NA,3,4,6,NA,563,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MANDROALINA",2021-09-01,3.64302854288985,5.04441284858362,6.98330025822496,NA,4,6,8,NA,1207,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MAROLANANANA",2021-09-01,14.7371916550954,20.2866626551417,27.9203624182097,NA,13,18,25,NA,894,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MAROSATROKA",2021-09-01,3.22436806273361,4.6368305796635,6.66582349048158,NA,4,5,8,NA,1166,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MASOAROVANA",2021-09-01,3.30018217385683,4.56247727973424,6.30595646762169,NA,4,5,7,NA,1158,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_MORARANO",2021-09-01,5.51696382227973,7.61621344780817,10.5115855858884,NA,3,5,7,NA,627,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_NOSIMBOAHANGY",2021-09-01,4.5545471013783,6.54130782441208,9.39138853295801,NA,3,5,6,NA,692,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_SAHAMARANA",2021-09-01,3.71172790207567,5.11130455015401,7.03689654065904,NA,5,6,9,NA,1261,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_SOANIHERENANA NORD",2021-09-01,13.0772127662542,17.5195507783046,23.46675045791,NA,10,14,18,NA,774,3,"2021/2022","Sep"
"AMBOHIMANGA DU SUD_VOHITRARIVO",2021-09-01,2.55229652895777,3.70045822419662,5.36347733416389,NA,3,4,6,NA,1049,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBINANITOMAROSANA",2021-09-01,0.944732056469284,1.51115530676508,2.41744897624091,NA,1,2,3,NA,1221,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBODIMANGA",2021-09-01,0.746408815854263,1.21601554155597,1.98114245731288,NA,1,1,1,NA,725,3,"2021/2022","Sep"
"AMBOHIMIERA_AMBOHIDAZA",2021-09-01,3.71075252959663,6.39611779877625,11.0332190711878,NA,1,2,4,NA,357,3,"2021/2022","Sep"
