"CSB2","case_total","case_csb","date_period","month_year","Comparée à 2023"
"AMBIABE",161,29,2025-09-01,"Sep 2025",-85
"AMBOHIMIERA",41,11,2025-09-01,"Sep 2025",-304
"AMPASINAMBO",52,16,2025-09-01,"Sep 2025",-55
"ANALAMPASINA",107,26,2025-09-01,"Sep 2025",-76
"ANDRORANGAVOLA",191,33,2025-09-01,"Sep 2025",-70
"ANTARETRA",171,46,2025-09-01,"Sep 2025",-72
"FASINTSARA",119,31,2025-09-01,"Sep 2025",-337
"IFANADIANA",194,67,2025-09-01,"Sep 2025",-156
"KELILALINA",149,80,2025-09-01,"Sep 2025",39
"MAROHARATRA",53,11,2025-09-01,"Sep 2025",-120
"MAROTOKO",177,34,2025-09-01,"Sep 2025",-8
"RANOMAFANA",65,29,2025-09-01,"Sep 2025",3
"TSARATANANA",279,70,2025-09-01,"Sep 2025",-385
